countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Sweden,Söndag,Söndag,,SE,2009-11-15
Colombia,Independencia de Cartagena [Independence of Cartagena](Observed),Independencia de Cartagena [Independence of Cartagena],,CO,2009-11-16
Mexico,Día de la Revolución [Revolution Day] (Observed),Día de la Revolución [Revolution Day],,MX,2009-11-16
Czech,Den boje za svobodu a demokracii,Den boje za svobodu a demokracii,,CZ,2009-11-17
Mexico,Día de la Revolución [Revolution Day],Día de la Revolución [Revolution Day],,MX,2009-11-20
Norway,Søndag,Søndag,,NO,2009-11-22
Sweden,Söndag,Söndag,,SE,2009-11-22
Japan,勤労感謝の日,勤労感謝の日,,JP,2009-11-23
United States,Thanksgiving,Thanksgiving,True,US,2009-11-26
Norway,Søndag,Søndag,,NO,2009-11-29
Sweden,Söndag,Söndag,,SE,2009-11-29
Scotland,St. Andrew's Day,St. Andrew's Day,,,2009-11-30
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,False,GB,2009-11-30
Portugal,Restauração da Independência,Restauração da Independência,,PT,2009-12-01
Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,,FI,2009-12-06
Norway,Søndag,Søndag,,NO,2009-12-06
Spain,Día de la constitución Española,Día de la constitución Española,,ES,2009-12-06
Sweden,Söndag,Söndag,,SE,2009-12-06
Argentina,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,AR,2009-12-08
Austria,Mariä Empfängnis,Mariä Empfängnis,,AT,2009-12-08
Colombia,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,CO,2009-12-08
Italy,Immacolata Concezione,Immacolata Concezione,,IT,2009-12-08
Portugal,Imaculada Conceição,Imaculada Conceição,,PT,2009-12-08
Spain,La Inmaculada Concepción,La Inmaculada Concepción,,ES,2009-12-08
Norway,Søndag,Søndag,,NO,2009-12-13
Sweden,Söndag,Söndag,,SE,2009-12-13
South Africa,Day of Reconciliation,Day of Reconciliation,,ZA,2009-12-16
Norway,Søndag,Søndag,,NO,2009-12-20
Sweden,Söndag,Söndag,,SE,2009-12-20
Japan,天皇誕生日,天皇誕生日,,JP,2009-12-23
Czech,Štědrý den,Štědrý den,,CZ,2009-12-24
Finland,Jouluaatto,Jouluaatto,,FI,2009-12-24
Sweden,Julafton,Julafton,,SE,2009-12-24
Argentina,Navidad [Christmas],Navidad [Christmas],,AR,2009-12-25
Australia,Christmas Day,Christmas Day,,AU,2009-12-25
Austria,Christtag,Christtag,,AT,2009-12-25
Belarus,Рождество Христово (католическое Рождество),Рождество Христово (католическое Рождество),,BY,2009-12-25
Belgium,Kerstmis,Kerstmis,,BE,2009-12-25
Brazil,Natal,Natal,,BR,2009-12-25
Canada,Christmas Day,Christmas Day,,CA,2009-12-25
Colombia,Navidad [Christmas],Navidad [Christmas],,CO,2009-12-25
Croatia,Božić,Božić,,HR,2009-12-25
Czech,1. svátek vánoční,1. svátek vánoční,,CZ,2009-12-25
Denmark,Juledag,Juledag,,DK,2009-12-25
England,Christmas Day,Christmas Day,,,2009-12-25
Finland,Joulupäivä,Joulupäivä,,FI,2009-12-25
France,Noël,Noël,,FR,2009-12-25
Germany,Erster Weihnachtstag,Erster Weihnachtstag,,DE,2009-12-25
Hungary,Karácsony,Karácsony,,HU,2009-12-25
India,Christmas,Christmas,False,IN,2009-12-25
Ireland,Christmas Day,Christmas Day,,IE,2009-12-25
Isle of Man,Christmas Day,Christmas Day,,IM,2009-12-25
Italy,Natale,Natale,,IT,2009-12-25
Mexico,Navidad [Christmas],Navidad [Christmas],,MX,2009-12-25
Netherlands,Eerste Kerstdag,Eerste Kerstdag,,NL,2009-12-25
New Zealand,Christmas Day,Christmas Day,,NZ,2009-12-25
Northern Ireland,Christmas Day,Christmas Day,,,2009-12-25
Norway,Første juledag,Første juledag,,NO,2009-12-25
Poland,Boże Narodzenie (pierwszy dzień),Boże Narodzenie (pierwszy dzień),,PL,2009-12-25
Portugal,Dia de Natal,Dia de Natal,,PT,2009-12-25
Scotland,Christmas Day,Christmas Day,,,2009-12-25
Slovenia,Božič,Božič,,SI,2009-12-25
South Africa,Christmas Day,Christmas Day,,ZA,2009-12-25
Spain,Navidad,Navidad,,ES,2009-12-25
Sweden,Juldagen,Juldagen,,SE,2009-12-25
Switzerland,Weihnachten,Weihnachten,,CH,2009-12-25
United Kingdom,Christmas Day,Christmas Day,True,GB,2009-12-25
United States,Christmas Day,Christmas Day,True,US,2009-12-25
Wales,Christmas Day,Christmas Day,,,2009-12-25
Australia,Boxing Day,Boxing Day,,AU,2009-12-26
Austria,Stefanitag,Stefanitag,,AT,2009-12-26
Croatia,Sveti Stjepan,Sveti Stjepan,,HR,2009-12-26
Czech,2. svátek vánoční,2. svátek vánoční,,CZ,2009-12-26
Denmark,Anden juledag,Anden juledag,,DK,2009-12-26
England,Boxing Day,Boxing Day,,,2009-12-26
Finland,Tapaninpäivä,Tapaninpäivä,,FI,2009-12-26
Germany,Zweiter Weihnachtstag,Zweiter Weihnachtstag,,DE,2009-12-26
Hungary,Karácsony másnapja,Karácsony másnapja,,HU,2009-12-26
Ireland,Boxing Day,Boxing Day,,IE,2009-12-26
Isle of Man,Boxing Day,Boxing Day,,IM,2009-12-26
Italy,Santo Stefano,Santo Stefano,,IT,2009-12-26
Netherlands,Tweede Kerstdag,Tweede Kerstdag,,NL,2009-12-26
New Zealand,Boxing Day,Boxing Day,,NZ,2009-12-26
Northern Ireland,Boxing Day,Boxing Day,,,2009-12-26
Norway,Andre juledag,Andre juledag,,NO,2009-12-26
Poland,Boże Narodzenie (drugi dzień),Boże Narodzenie (drugi dzień),,PL,2009-12-26
Scotland,Boxing Day,Boxing Day,,,2009-12-26
Slovenia,dan samostojnosti in enotnosti,dan samostojnosti in enotnosti,,SI,2009-12-26
South Africa,Day of Goodwill,Day of Goodwill,,ZA,2009-12-26
Sweden,Annandag jul,Annandag jul,,SE,2009-12-26
United Kingdom,Boxing Day,Boxing Day,True,GB,2009-12-26
Wales,Boxing Day,Boxing Day,,,2009-12-26
Norway,Søndag,Søndag,,NO,2009-12-27
Sweden,Söndag,Söndag,,SE,2009-12-27
Australia,Boxing Day (Observed),Boxing Day,,AU,2009-12-28
Canada,Boxing Day (Observed),Boxing Day,,CA,2009-12-28
England,Boxing Day (Observed),Boxing Day,,,2009-12-28
Ireland,Boxing Day (Observed),Boxing Day,,IE,2009-12-28
Isle of Man,Boxing Day (Observed),Boxing Day,,IM,2009-12-28
New Zealand,Boxing Day (Observed),Boxing Day,,NZ,2009-12-28
Northern Ireland,Boxing Day (Observed),Boxing Day,,,2009-12-28
Scotland,Boxing Day (Observed),Boxing Day,,,2009-12-28
United Kingdom,Boxing Day (Observed),Boxing Day,True,GB,2009-12-28
Wales,Boxing Day (Observed),Boxing Day,,,2009-12-28
Sweden,Nyårsafton,Nyårsafton,,SE,2009-12-31
Argentina,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,AR,2010-01-01
Australia,New Year's Day,New Year's Day,,AU,2010-01-01
Austria,Neujahr,Neujahr,,AT,2010-01-01
Belarus,Новый год,Новый год,,BY,2010-01-01
Belgium,Nieuwjaarsdag,Nieuwjaarsdag,,BE,2010-01-01
Brazil,Ano novo,Ano novo,,BR,2010-01-01
Canada,New Year's Day,New Year's Day,,CA,2010-01-01
Colombia,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,CO,2010-01-01
Croatia,Nova Godina,Nova Godina,,HR,2010-01-01
Czech,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu,,CZ,2010-01-01
Denmark,Nytårsdag,Nytårsdag,,DK,2010-01-01
England,New Year's Day,New Year's Day,,,2010-01-01
Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,,FI,2010-01-01
France,Jour de l'an,Jour de l'an,,FR,2010-01-01
Germany,Neujahr,Neujahr,,DE,2010-01-01
Hungary,Újév,Újév,,HU,2010-01-01
Ireland,New Year's Day,New Year's Day,,IE,2010-01-01
Isle of Man,New Year's Day,New Year's Day,,IM,2010-01-01
Italy,Capodanno,Capodanno,,IT,2010-01-01
Japan,元日,元日,,JP,2010-01-01
Mexico,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,MX,2010-01-01
Netherlands,Nieuwjaarsdag,Nieuwjaarsdag,,NL,2010-01-01
New Zealand,New Year's Day,New Year's Day,,NZ,2010-01-01
Northern Ireland,New Year's Day,New Year's Day,,,2010-01-01
Norway,Første nyttårsdag,Første nyttårsdag,,NO,2010-01-01
Poland,Nowy Rok,Nowy Rok,,PL,2010-01-01
Portugal,Ano Novo,Ano Novo,,PT,2010-01-01
Scotland,New Year's Day,New Year's Day,,,2010-01-01
Slovenia,novo leto,novo leto,,SI,2010-01-01
South Africa,New Year's Day,New Year's Day,,ZA,2010-01-01
Spain,Año nuevo,Año nuevo,,ES,2010-01-01
Sweden,Nyårsdagen,Nyårsdagen,,SE,2010-01-01
Switzerland,Neujahrestag,Neujahrestag,,CH,2010-01-01
Ukraine,Новий рік,Новий рік,,UA,2010-01-01
United Kingdom,New Year's Day,New Year's Day,True,GB,2010-01-01
United States,New Year's Day,New Year's Day,True,US,2010-01-01
Wales,New Year's Day,New Year's Day,,,2010-01-01
New Zealand,Day after New Year's Day,Day after New Year's Day,,NZ,2010-01-02
Scotland,New Year Holiday,New Year Holiday,,,2010-01-02
Slovenia,novo leto,novo leto,,SI,2010-01-02
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2010-01-02
Norway,Søndag,Søndag,,NO,2010-01-03
Sweden,Söndag,Söndag,,SE,2010-01-03
New Zealand,Day after New Year's Day (Observed),Day after New Year's Day,,NZ,2010-01-04
Scotland,New Year Holiday (Observed),New Year Holiday,,,2010-01-04
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,True,GB,2010-01-04
Austria,Heilige Drei Könige,Heilige Drei Könige,,AT,2010-01-06
Croatia,Sveta tri kralja,Sveta tri kralja,,HR,2010-01-06
Finland,Loppiainen,Loppiainen,,FI,2010-01-06
Italy,Epifania del Signore,Epifania del Signore,,IT,2010-01-06
Spain,Epifanía del Señor,Epifanía del Señor,,ES,2010-01-06
Sweden,Trettondedag jul,Trettondedag jul,,SE,2010-01-06
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),,BY,2010-01-07
Ukraine,Різдво Христове (православне),Різдво Христове (православне),,UA,2010-01-07
Norway,Søndag,Søndag,,NO,2010-01-10
Sweden,Söndag,Söndag,,SE,2010-01-10
Colombia,Día de los Reyes Magos [Epiphany](Observed),Día de los Reyes Magos [Epiphany],,CO,2010-01-11
Japan,成人の日,成人の日,,JP,2010-01-11
India,Makar Sankranti / Pongal,Makar Sankranti / Pongal,False,IN,2010-01-14
Norway,Søndag,Søndag,,NO,2010-01-17
Sweden,Söndag,Söndag,,SE,2010-01-17
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2010-01-18
Norway,Søndag,Søndag,,NO,2010-01-24
Sweden,Söndag,Söndag,,SE,2010-01-24
Australia,Australia Day,Australia Day,,AU,2010-01-26
India,Republic Day,Republic Day,True,IN,2010-01-26
Norway,Søndag,Søndag,,NO,2010-01-31
Sweden,Söndag,Söndag,,SE,2010-01-31
Mexico,Día de la Constitución [Constitution Day] (Observed),Día de la Constitución [Constitution Day],,MX,2010-02-01
Mexico,Día de la Constitución [Constitution Day],Día de la Constitución [Constitution Day],,MX,2010-02-05
New Zealand,Waitangi Day,Waitangi Day,,NZ,2010-02-06
Norway,Søndag,Søndag,,NO,2010-02-07
Sweden,Söndag,Söndag,,SE,2010-02-07
Slovenia,Prešernov dan,Prešernov dan,,SI,2010-02-08
Japan,建国記念の日,建国記念の日,,JP,2010-02-11
Norway,Søndag,Søndag,,NO,2010-02-14
Sweden,Söndag,Söndag,,SE,2010-02-14
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2010-02-15
Canada,Family Day,Family Day,,CA,2010-02-15
United States,Washington's Birthday,Washington's Birthday,True,US,2010-02-15
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2010-02-16
Brazil,Carnaval,Carnaval,,BR,2010-02-16
Brazil,Quarta-feira de cinzas (Início da Quaresma),Quarta-feira de cinzas (Início da Quaresma),,BR,2010-02-17
Norway,Søndag,Søndag,,NO,2010-02-21
Sweden,Söndag,Söndag,,SE,2010-02-21
Norway,Søndag,Søndag,,NO,2010-02-28
Sweden,Söndag,Söndag,,SE,2010-02-28
Norway,Søndag,Søndag,,NO,2010-03-07
Sweden,Söndag,Söndag,,SE,2010-03-07
Belarus,День женщин,День женщин,,BY,2010-03-08
Ukraine,Міжнародний жіночий день,Міжнародний жіночий день,,UA,2010-03-08
Norway,Søndag,Søndag,,NO,2010-03-14
Sweden,Söndag,Söndag,,SE,2010-03-14
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2010-03-15
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday] (Observed),Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2010-03-15
Ireland,St. Patrick's Day,St. Patrick's Day,,IE,2010-03-17
Northern Ireland,St. Patrick's Day,St. Patrick's Day,,,2010-03-17
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2010-03-17
Japan,春分の日,春分の日,,JP,2010-03-21
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday],Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2010-03-21
Norway,Søndag,Søndag,,NO,2010-03-21
South Africa,Human Rights Day,Human Rights Day,,ZA,2010-03-21
Sweden,Söndag,Söndag,,SE,2010-03-21
Colombia,Día de San José [Saint Joseph's Day](Observed),Día de San José [Saint Joseph's Day],,CO,2010-03-22
Japan,振替休日,振替休日,,JP,2010-03-22
South Africa,Human Rights Day (Observed),Human Rights Day,,ZA,2010-03-22
Argentina,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],,AR,2010-03-24
Denmark,Palmesøndag,Palmesøndag,,DK,2010-03-28
Norway,Søndag,Søndag,,NO,2010-03-28
Sweden,Söndag,Söndag,,SE,2010-03-28
Argentina,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],,AR,2010-04-01
Colombia,Jueves Santo [Maundy Thursday],Jueves Santo [Maundy Thursday],,CO,2010-04-01
Denmark,Skærtorsdag,Skærtorsdag,,DK,2010-04-01
Norway,Skjærtorsdag,Skjærtorsdag,,NO,2010-04-01
Argentina,"Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War], Semana Santa (Viernes Santo)  [Holy day (Holy Friday)]","Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War], Semana Santa (Viernes Santo)  [Holy day (Holy Friday)]",,AR,2010-04-02
Australia,Good Friday,Good Friday,,AU,2010-04-02
Brazil,Sexta-feira Santa,Sexta-feira Santa,,BR,2010-04-02
Canada,Good Friday,Good Friday,,CA,2010-04-02
Colombia,Viernes Santo [Good Friday],Viernes Santo [Good Friday],,CO,2010-04-02
Denmark,Langfredag,Langfredag,,DK,2010-04-02
England,Good Friday,Good Friday,,,2010-04-02
Finland,Pitkäperjantai,Pitkäperjantai,,FI,2010-04-02
Germany,Karfreitag,Karfreitag,,DE,2010-04-02
Isle of Man,Good Friday,Good Friday,,IM,2010-04-02
Netherlands,Goede Vrijdag,Goede Vrijdag,,NL,2010-04-02
New Zealand,Good Friday,Good Friday,,NZ,2010-04-02
Northern Ireland,Good Friday,Good Friday,,,2010-04-02
Norway,Langfredag,Langfredag,,NO,2010-04-02
Portugal,Sexta-feira Santa,Sexta-feira Santa,,PT,2010-04-02
Scotland,Good Friday,Good Friday,,,2010-04-02
South Africa,Good Friday,Good Friday,,ZA,2010-04-02
Sweden,Långfredagen,Långfredagen,,SE,2010-04-02
Switzerland,Karfreitag,Karfreitag,,CH,2010-04-02
United Kingdom,Good Friday,Good Friday,True,GB,2010-04-02
Wales,Good Friday,Good Friday,,,2010-04-02
Argentina,Día de Pascuas [Easter Day],Día de Pascuas [Easter Day],,AR,2010-04-04
Belgium,Pasen,Pasen,,BE,2010-04-04
Brazil,Páscoa,Páscoa,,BR,2010-04-04
Croatia,Uskrs,Uskrs,,HR,2010-04-04
Denmark,Påskedag,Påskedag,,DK,2010-04-04
Finland,Pääsiäispäivä,Pääsiäispäivä,,FI,2010-04-04
Hungary,Húsvét,Húsvét,,HU,2010-04-04
Italy,Pasqua di Resurrezione,Pasqua di Resurrezione,,IT,2010-04-04
Netherlands,Eerste paasdag,Eerste paasdag,,NL,2010-04-04
Norway,"Første påskedag, Søndag","Første påskedag, Søndag",,NO,2010-04-04
Poland,Niedziela Wielkanocna,Niedziela Wielkanocna,,PL,2010-04-04
Portugal,Páscoa,Páscoa,,PT,2010-04-04
Sweden,"Påskdagen, Söndag","Påskdagen, Söndag",,SE,2010-04-04
Switzerland,Ostern,Ostern,,CH,2010-04-04
Ukraine,Пасха (Великдень),Пасха (Великдень),,UA,2010-04-04
Australia,Easter Monday,Easter Monday,,AU,2010-04-05
Austria,Ostermontag,Ostermontag,,AT,2010-04-05
Belgium,Paasmaandag,Paasmaandag,,BE,2010-04-05
Croatia,Uskrsni ponedjeljak,Uskrsni ponedjeljak,,HR,2010-04-05
Czech,Velikonoční pondělí,Velikonoční pondělí,,CZ,2010-04-05
Denmark,Anden påskedag,Anden påskedag,,DK,2010-04-05
England,Easter Monday,Easter Monday,,,2010-04-05
Finland,2. pääsiäispäivä,2. pääsiäispäivä,,FI,2010-04-05
France,Lundi de Pâques,Lundi de Pâques,,FR,2010-04-05
Germany,Ostermontag,Ostermontag,,DE,2010-04-05
Hungary,Húsvét Hétfő,Húsvét Hétfő,,HU,2010-04-05
Ireland,Easter Monday,Easter Monday,,IE,2010-04-05
Isle of Man,Easter Monday,Easter Monday,,IM,2010-04-05
Italy,Lunedì dell'Angelo,Lunedì dell'Angelo,,IT,2010-04-05
Netherlands,Tweede paasdag,Tweede paasdag,,NL,2010-04-05
New Zealand,Easter Monday,Easter Monday,,NZ,2010-04-05
Northern Ireland,Easter Monday,Easter Monday,,,2010-04-05
Norway,Andre påskedag,Andre påskedag,,NO,2010-04-05
Poland,Poniedziałek Wielkanocny,Poniedziałek Wielkanocny,,PL,2010-04-05
Slovenia,Velikonočni ponedeljek,Velikonočni ponedeljek,,SI,2010-04-05
South Africa,Family Day,Family Day,,ZA,2010-04-05
Sweden,Annandag påsk,Annandag påsk,,SE,2010-04-05
Switzerland,Ostermontag,Ostermontag,,CH,2010-04-05
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,True,GB,2010-04-05
Wales,Easter Monday,Easter Monday,,,2010-04-05
Norway,Søndag,Søndag,,NO,2010-04-11
Sweden,Söndag,Söndag,,SE,2010-04-11
Belarus,Радуница,Радуница,,BY,2010-04-13
Norway,Søndag,Søndag,,NO,2010-04-18
Sweden,Söndag,Söndag,,SE,2010-04-18
Brazil,Tiradentes,Tiradentes,,BR,2010-04-21
Australia,Anzac Day,Anzac Day,,AU,2010-04-25
Italy,Festa della Liberazione,Festa della Liberazione,,IT,2010-04-25
New Zealand,Anzac Day,Anzac Day,,NZ,2010-04-25
Norway,Søndag,Søndag,,NO,2010-04-25
Portugal,Dia da Liberdade,Dia da Liberdade,,PT,2010-04-25
Sweden,Söndag,Söndag,,SE,2010-04-25
Slovenia,dan upora proti okupatorju,dan upora proti okupatorju,,SI,2010-04-27
South Africa,Freedom Day,Freedom Day,,ZA,2010-04-27
Japan,昭和の日,昭和の日,,JP,2010-04-29
Denmark,Store bededag,Store bededag,,DK,2010-04-30
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday] (Observed),Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2010-04-30
Netherlands,Koninginnedag,Koninginnedag,,NL,2010-04-30
Argentina,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,AR,2010-05-01
Austria,Staatsfeiertag,Staatsfeiertag,,AT,2010-05-01
Belarus,Праздник труда,Праздник труда,,BY,2010-05-01
Belgium,Dag van de Arbeid,Dag van de Arbeid,,BE,2010-05-01
Brazil,Dia Mundial do Trabalho,Dia Mundial do Trabalho,,BR,2010-05-01
Colombia,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,CO,2010-05-01
Croatia,Međunarodni praznik rada,Međunarodni praznik rada,,HR,2010-05-01
Czech,Svátek práce,Svátek práce,,CZ,2010-05-01
Finland,Vappu,Vappu,,FI,2010-05-01
France,Fête du Travail,Fête du Travail,,FR,2010-05-01
Germany,Erster Mai,Erster Mai,,DE,2010-05-01
Hungary,A Munka ünnepe,A Munka ünnepe,,HU,2010-05-01
India,Labour Day,Labour Day,False,IN,2010-05-01
Italy,Festa dei Lavoratori,Festa dei Lavoratori,,IT,2010-05-01
Mexico,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,MX,2010-05-01
Norway,Arbeidernes dag,Arbeidernes dag,,NO,2010-05-01
Poland,Święto Państwowe,Święto Państwowe,,PL,2010-05-01
Portugal,Dia do Trabalhador,Dia do Trabalhador,,PT,2010-05-01
Slovenia,praznik dela,praznik dela,,SI,2010-05-01
South Africa,Workers' Day,Workers' Day,,ZA,2010-05-01
Spain,Día del Trabajador,Día del Trabajador,,ES,2010-05-01
Sweden,Första maj,Första maj,,SE,2010-05-01
Ukraine,День міжнародної солідарності трудящих,День міжнародної солідарності трудящих,,UA,2010-05-01
Norway,Søndag,Søndag,,NO,2010-05-02
Slovenia,praznik dela,praznik dela,,SI,2010-05-02
Sweden,Söndag,Söndag,,SE,2010-05-02
Ukraine,День міжнародної солідарності трудящих,День міжнародної солідарності трудящих,,UA,2010-05-02
England,May Day,May Day,,,2010-05-03
Ireland,May Day,May Day,,IE,2010-05-03
Isle of Man,May Day,May Day,,IM,2010-05-03
Japan,憲法記念日,憲法記念日,,JP,2010-05-03
Northern Ireland,May Day,May Day,,,2010-05-03
Poland,Święto Narodowe Trzeciego Maja,Święto Narodowe Trzeciego Maja,,PL,2010-05-03
Scotland,May Day,May Day,,,2010-05-03
United Kingdom,May Day,May Day,True,GB,2010-05-03
Wales,May Day,May Day,,,2010-05-03
Japan,みどりの日,みどりの日,,JP,2010-05-04
Japan,こどもの日,こどもの日,,JP,2010-05-05
Netherlands,Bevrijdingsdag,Bevrijdingsdag,,NL,2010-05-05
Czech,Den vítězství,Den vítězství,,CZ,2010-05-08
France,Armistice 1945,Armistice 1945,,FR,2010-05-08
Belarus,День Победы,День Победы,,BY,2010-05-09
Norway,Søndag,Søndag,,NO,2010-05-09
Sweden,Söndag,Söndag,,SE,2010-05-09
Ukraine,День перемоги,День перемоги,,UA,2010-05-09
Austria,Christi Himmelfahrt,Christi Himmelfahrt,,AT,2010-05-13
Belgium,O.L.H. Hemelvaart,O.L.H. Hemelvaart,,BE,2010-05-13
Denmark,Kristi himmelfartsdag,Kristi himmelfartsdag,,DK,2010-05-13
Finland,Helatorstai,Helatorstai,,FI,2010-05-13
France,Ascension,Ascension,,FR,2010-05-13
Germany,Christi Himmelfahrt,Christi Himmelfahrt,,DE,2010-05-13
Netherlands,Hemelvaart,Hemelvaart,,NL,2010-05-13
Norway,Kristi himmelfartsdag,Kristi himmelfartsdag,,NO,2010-05-13
Sweden,Kristi himmelsfärdsdag,Kristi himmelsfärdsdag,,SE,2010-05-13
Switzerland,Auffahrt,Auffahrt,,CH,2010-05-13
Norway,Søndag,Søndag,,NO,2010-05-16
Sweden,Söndag,Söndag,,SE,2010-05-16
Colombia,Ascensión del señor [Ascension of Jesus](Observed),Ascensión del señor [Ascension of Jesus],,CO,2010-05-17
Norway,Grunnlovsdag,Grunnlovsdag,,NO,2010-05-17
Belgium,Pinksteren,Pinksteren,,BE,2010-05-23
Denmark,Pinsedag,Pinsedag,,DK,2010-05-23
Finland,Helluntaipäivä,Helluntaipäivä,,FI,2010-05-23
Hungary,Pünkösd,Pünkösd,,HU,2010-05-23
Netherlands,Eerste Pinksterdag,Eerste Pinksterdag,,NL,2010-05-23
Norway,"Første pinsedag, Søndag","Første pinsedag, Søndag",,NO,2010-05-23
Poland,Zielone Świątki,Zielone Świątki,,PL,2010-05-23
Sweden,"Pingstdagen, Söndag","Pingstdagen, Söndag",,SE,2010-05-23
Switzerland,Pfingsten,Pfingsten,,CH,2010-05-23
Ukraine,Трійця,Трійця,,UA,2010-05-23
Austria,Pfingstmontag,Pfingstmontag,,AT,2010-05-24
Belgium,Pinkstermaandag,Pinkstermaandag,,BE,2010-05-24
Canada,Victoria Day,Victoria Day,,CA,2010-05-24
Denmark,Anden pinsedag,Anden pinsedag,,DK,2010-05-24
France,Lundi de Pentecôte,Lundi de Pentecôte,,FR,2010-05-24
Germany,Pfingstmontag,Pfingstmontag,,DE,2010-05-24
Hungary,Pünkösdhétfő,Pünkösdhétfő,,HU,2010-05-24
Netherlands,Tweede Pinksterdag,Tweede Pinksterdag,,NL,2010-05-24
Norway,Andre pinsedag,Andre pinsedag,,NO,2010-05-24
Switzerland,Pfingstmontag,Pfingstmontag,,CH,2010-05-24
Argentina,Día de la Revolucion de Mayo [May Revolution Day],Día de la Revolucion de Mayo [May Revolution Day],,AR,2010-05-25
Norway,Søndag,Søndag,,NO,2010-05-30
Sweden,Söndag,Söndag,,SE,2010-05-30
England,Spring Bank Holiday,Spring Bank Holiday,,,2010-05-31
Isle of Man,Spring Bank Holiday,Spring Bank Holiday,,IM,2010-05-31
Northern Ireland,Spring Bank Holiday,Spring Bank Holiday,,,2010-05-31
Scotland,Spring Bank Holiday,Spring Bank Holiday,,,2010-05-31
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,True,GB,2010-05-31
United States,Memorial Day,Memorial Day,True,US,2010-05-31
Wales,Spring Bank Holiday,Spring Bank Holiday,,,2010-05-31
Italy,Festa della Repubblica,Festa della Repubblica,,IT,2010-06-02
Austria,Fronleichnam,Fronleichnam,,AT,2010-06-03
Brazil,Corpus Christi,Corpus Christi,,BR,2010-06-03
Croatia,Tijelovo,Tijelovo,,HR,2010-06-03
Poland,Dzień Bożego Ciała,Dzień Bożego Ciała,,PL,2010-06-03
Portugal,Corpo de Deus,Corpo de Deus,,PT,2010-06-03
Isle of Man,TT Bank Holiday,TT Bank Holiday,,IM,2010-06-04
Norway,Søndag,Søndag,,NO,2010-06-06
Sweden,"Sveriges nationaldag, Söndag","Sveriges nationaldag, Söndag",,SE,2010-06-06
Colombia,Corpus Christi [Corpus Christi](Observed),Corpus Christi [Corpus Christi],,CO,2010-06-07
Ireland,June Bank Holiday,June Bank Holiday,,IE,2010-06-07
New Zealand,Queen's Birthday,Queen's Birthday,,NZ,2010-06-07
Portugal,Dia de Portugal,Dia de Portugal,,PT,2010-06-10
Norway,Søndag,Søndag,,NO,2010-06-13
Sweden,Söndag,Söndag,,SE,2010-06-13
Colombia,Sagrado Corazón [Sacred Heart](Observed),Sagrado Corazón [Sacred Heart],,CO,2010-06-14
South Africa,Youth Day,Youth Day,,ZA,2010-06-16
Argentina,Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],,AR,2010-06-17
